Latitude,Longitude,Street Address,Suburb,Postcode,Region,Bedrooms,Bathrooms,Parking Spaces,Property Type,Price,Listing Id,Title,Date Sold,Modified Date
-37.77476,144.97488,11 Arnold Street,Brunswick East,3057,melbourne___northern_region,3,2,2,house,"$1,230,000 ",129497334,City-Edge Luxury with Space and Versatility,2018/10/27,2018/11/3 обнГ 01:55:35
-38.18362,144.44446,551-569 Bellarine Highway,Moolap,3224,null,4,2,6,acreage/semi-rural,"$1,220,000 ",129391150,Lifestyle Acreage On The Fringe Of The CBD,2018/10/27,2018/11/5 обнГ 01:59:36
-37.75061,144.87232,9 Brees Road,Keilor East,3033,north_west_melbourne,4,3,2,house,"$1,220,000 ",129460298,Quality with timeless family appeal.,2018/10/27,2018/10/31 обнГ 01:55:35
-37.91581,145.11721,61 Edinburgh Street,Clayton,3168,south_east_melbourne,3,2,1,house,"$1,214,000 ",129424794,Contemporary elegance meets beautiful period charm,2018/10/27,2018/10/30 ионГ 02:00:26
-37.86052,144.99736,7/18 Westbury Street,St Kilda East,3183,inner_east_melbourne,3,2,1,apartment,"$1,210,000 ",129458582,"Unique Opportunity, Two Levels of Light and Space",2018/10/27,2018/11/5 ионГ 01:28:01
-37.91253,145.0413,2 Adelaide Street,McKinnon,3204,bayside,3,2,2,townhouse,"$1,203,000 ",129434978,"Highest quality, high-tech design for a highly discerning Zone family",2018/10/27,2018/10/29 ионГ 02:00:22
-37.86906,145.07025,93a Albion Road,Ashburton,3147,eastern_melbourne,3,2,2,townhouse,"$1,200,000 ",129477462,Beautifully Renovated Al Fresco Harmony,2018/10/27,2018/11/1 обнГ 01:56:03
-37.77405,144.90745,73 Walter Street,Ascot Vale,3032,north_west_melbourne,3,2,1,house,"$1,200,000 ",129462318,Lifestyle Success in a Sought-after Setting,2018/10/27,2018/10/31 обнГ 01:55:40
-37.89512,145.0474,12 Lyons Street,Carnegie,3163,bayside,3,1,1,house,"$1,185,000 ",129494586,A taste of Art Deco class,2018/10/27,2018/11/3 обнГ 01:55:30
-37.83278,144.88598,160 Hall Street,Spotswood,3015,south_west_melbourne,4,2,3,house,"$1,180,000 ",129494582,Art Deco Home of Extraordinary Character,2018/10/27,2018/11/3 обнГ 01:55:30
-37.8203,145.19288,16 Meerut Street,Mitcham,3132,eastern_melbourne,4,2,0,house,"$1,170,000 ",129479998,Art Deco Charm on 765m2,2018/10/27,2018/11/2 обнГ 01:55:29
-37.89177,145.18748,960 Waverley Road,Wheelers Hill,3150,eastern_melbourne,3,2,2,house,"$1,165,000 ",129427214,"Modern Family Retreat Of Space, Light & Poolside Entertaining",2018/10/27,2018/11/1 ионГ 02:00:24
-37.78383,145.1407,17 Sharon Street,Doncaster,3108,inner_east_melbourne,4,2,2,house,"$1,160,000 ",129491562,A Family Treasure with Future Prospects,2018/10/27,2018/11/2 обнГ 01:55:51
-37.79609,144.98724,62 Budd Street,Collingwood,3066,melbourne_city___greater_region,4,2,1,townhouse,"$1,160,000 ",129475994,"Spacious, Flexible, Indoor/Outdoor Entertainer",2018/10/27,2018/11/1 обнГ 01:55:58
-37.7347,144.96128,38 May Street,Coburg,3058,melbourne___northern_region,3,1,2,house,"$1,156,000 ",129480094,Edwardian Elegance with Gorgeous Garden Surrounds,2018/10/27,2018/11/2 обнГ 01:55:29
-37.76835,145.11012,28 Feathertop Avenue,Templestowe Lower,3107,eastern_melbourne,3,1,2,house,"$1,154,000 ",129440806,Light Filled Living Awaits,2018/10/27,2018/10/28 ионГ 02:00:14
-37.89797,145.06089,52 Woornack Road,Carnegie,3163,bayside,3,1,1,house,"$1,153,000 ",129491094,Simply Move In And Enjoy!,2018/10/27,2018/11/2 обнГ 01:55:50
-37.78185,145.02025,31 Austin Street,Alphington,3078,melbourne___northern_region,3,2,2,house,"$1,150,000 ",129504986,Family Proportions with Location and Potential,2018/10/27,2018/11/3 обнГ 01:55:49
-37.89988,145.14711,17 McKenna Road,Glen Waverley,3150,eastern_melbourne,4,2,2,house,"$1,136,000 ",129432934,POSITION AND POTENTIAL √ BRENTWOOD SECONDARY CATCHMENT,2018/10/27,2018/10/31 ионГ 02:00:25
-37.85546,144.99564,25 Hornby Street,Prahran,3181,inner_east_melbourne,3,2,0,house,"$1,130,000 ",129488522,REALISE YOUR DOUBLE FRONTED DREAM!,2018/10/27,2018/11/2 обнГ 01:55:45
-37.77684,145.28455,61 Warrien Road,Croydon North,3136,eastern_melbourne,5,3,2,house,"$1,130,000 ",129462682,Uncompromised entertaining and living space,2018/10/27,2018/10/31 обнГ 01:55:40
-37.79177,145.11256,76 Wilsons Road,Doncaster,3108,inner_east_melbourne,4,2,2,house,"$1,119,000 ",129429562,A great place to live or develop your future.,2018/10/27,2018/10/27 ионГ 02:24:30
-37.92513,145.05282,26 Brian Street,Bentleigh East,3165,bayside,4,2,1,house,"$1,115,000 ",129424066,"Render, Renovate or Rebuild (STCA)",2018/10/27,2018/10/29 ионГ 02:00:21
-37.72463,145.10618,26 Tarcoola Drive,Yallambie,3085,melbourne___northern_region,3,1,0,house,"$1,110,000 ",129469326,Remarkable mudbrick with parkland vistas,2018/10/27,2018/11/1 обнГ 01:55:40
-37.75382,144.95563,5 Foch Avenue,Coburg,3058,melbourne___northern_region,3,1,2,house,"$1,105,000 ",129462390,AUCTION this Saturday 27/10 at 1pm,2018/10/27,2018/11/2 ионГ 12:51:27
-37.97401,145.06073,49 Latrobe Street,Cheltenham,3192,bayside,4,1,2,house,"$1,091,000 ",129463206,"Family-Sized Home - Superb Outdoor Entertaining, Perfect Location",2018/10/27,2018/11/1 ионГ 02:00:25
-37.85947,145.15716,1 Coventry Street,Burwood East,3151,eastern_melbourne,4,2,2,house,"$1,085,000 ",129460506,Terrific family space - Auction this Saturday at 10am,2018/10/27,2018/10/31 обнГ 01:55:36
-37.74848,145.1998,22 Lynette Avenue,Warrandyte,3113,eastern_melbourne,4,2,2,house,"$1,078,000 ",129440542,A natural approach to family living.,2018/10/27,2018/10/28 ионГ 02:00:14
-37.82986,144.87675,7A Arras Street,Spotswood,3015,south_west_melbourne,3,2,4,house,"$1,070,000 ",129488926,LOCATION AND LIFESTYLE,2018/10/27,2018/11/2 обнГ 01:55:46
-37.80476,144.99487,84 Park Street,Abbotsford,3067,melbourne_city___greater_region,2,1,0,house,"$1,070,000 ",129482938,Classic Charm and Convenience,2018/10/27,2018/11/2 обнГ 01:55:34
-37.80603,144.97751,52 Brunswick Street,Fitzroy,3065,melbourne_city___greater_region,2,1,1,apartment,"$1,050,000 ",129488102,The Champion of superb city-edge living with views,2018/10/27,2018/11/2 обнГ 01:55:44
-37.81063,144.87559,2/35 Bishop Street,Kingsville,3012,western_melbourne,4,2,3,townhouse,"$1,040,000 ",129191154,Tomorrow's Home Has Arrived Today,2018/10/27,2018/10/31 ионГ 02:00:21
-37.77145,145.10937,14 Talbot Street,Templestowe Lower,3107,eastern_melbourne,3,1,2,house,"$1,033,500 ",129458930,Family appeal on a large garden allotment,2018/10/27,2018/10/31 обнГ 01:55:33
